id,name,area,genre,rating,googleMapsUrl,comment,isActive,createdAt
"58","回転寿司 力丸 JR姫路駅店","other","sushi",3.8,"https://www.google.com/maps/search/?api=1&query=%E5%9B%9E%E8%BB%A2%E5%AF%BF%E5%8F%B8%20%E5%8A%9B%E4%B8%B8%20JR%E5%A7%AB%E8%B7%AF%E9%A7%85%E5%BA%97","回転寿司 力丸 JR姫路駅店 3.8(671) ￥2,000～3,000 · 寿司",true,"2026-03-31"
"59","姫路横丁酒場 寺尾商店","other","izakaya",3.8,"https://www.google.com/maps/search/?api=1&query=%E5%A7%AB%E8%B7%AF%E6%A8%AA%E4%B8%81%E9%85%92%E5%A0%B4%20%E5%AF%BA%E5%B0%BE%E5%95%86%E5%BA%97","姫路横丁酒場 寺尾商店 3.8(17) ￥3,000～4,000 · 居酒屋",true,"2026-03-31"
"60","食堂あむす","other","izakaya",4.4,"https://www.google.com/maps/search/?api=1&query=%E9%A3%9F%E5%A0%82%E3%81%82%E3%82%80%E3%81%99","食堂あむす 4.4(19) モダン居酒屋レストラン",true,"2026-03-31"
"61","英洋軒 姫路駅前店","other","ramen",4.1,"https://www.google.com/maps/search/?api=1&query=%E8%8B%B1%E6%B4%8B%E8%BB%92%20%E5%A7%AB%E8%B7%AF%E9%A7%85%E5%89%8D%E5%BA%97","英洋軒 姫路駅前店 4.1(560) ￥1,000～2,000 · 中華料理",true,"2026-03-31"
"62","魚酒場 ジェームス吉田屋 姫路駅前店","other","izakaya",3.9,"https://www.google.com/maps/search/?api=1&query=%E9%AD%9A%E9%85%92%E5%A0%B4%20%E3%82%B8%E3%82%A7%E3%83%BC%E3%83%A0%E3%82%B9%E5%90%89%E7%94%B0%E5%B1%8B%20%E5%A7%AB%E8%B7%AF%E9%A7%85%E5%89%8D%E5%BA%97","魚酒場 ジェームス吉田屋 姫路駅前店 3.9(75) ￥4,000～5,000 · 居酒屋",true,"2026-03-31"
"63","炭火焼き And's ( あんず )","other","yakitori",4,"https://www.google.com/maps/search/?api=1&query=%E7%82%AD%E7%81%AB%E7%84%BC%E3%81%8D%20And's%20(%20%E3%81%82%E3%82%93%E3%81%9A%20)","炭火焼き And's ( あんず ) 4.0(4) ￥2,000～3,000 · 鶏料理",true,"2026-03-31"
"64","寿司処 眞","other","sushi",4.9,"https://www.google.com/maps/search/?api=1&query=%E5%AF%BF%E5%8F%B8%E5%87%A6%20%E7%9C%9E","寿司処 眞 4.9(35) 寿司",true,"2026-03-31"
"65","博多名代 吉塚うなぎ屋","other","sushi",4.4,"https://www.google.com/maps/search/?api=1&query=%E5%8D%9A%E5%A4%9A%E5%90%8D%E4%BB%A3%20%E5%90%89%E5%A1%9A%E3%81%86%E3%81%AA%E3%81%8E%E5%B1%8B","博多名代 吉塚うなぎ屋 4.4(8,947) 高級 · うなぎ料理店",true,"2026-03-31"
"66","かに問屋","other","sushi",3.7,"https://www.google.com/maps/search/?api=1&query=%E3%81%8B%E3%81%AB%E5%95%8F%E5%B1%8B","かに問屋 3.7(75) お手頃 · カニ",true,"2026-03-31"
"67","鶏Soba 座銀 本店","other","yakitori",4.5,"https://www.google.com/maps/search/?api=1&query=%E9%B6%8FSoba%20%E5%BA%A7%E9%8A%80%20%E6%9C%AC%E5%BA%97","鶏Soba 座銀 本店 4.5(2,481) ￥1,000～2,000 · ラーメン",true,"2026-03-31"
"68","とんかつひろ喜 野江店","kyobashi","other",3.9,"https://www.google.com/maps/search/?api=1&query=%E3%81%A8%E3%82%93%E3%81%8B%E3%81%A4%E3%81%B2%E3%82%8D%E5%96%9C%20%E9%87%8E%E6%B1%9F%E5%BA%97","とんかつひろ喜 野江店 3.9(175) ￥1,000～2,000 · とんかつ店",true,"2026-03-31"
"69","株式会社スズヤ","other","other",4.2,"https://www.google.com/maps/search/?api=1&query=%E6%A0%AA%E5%BC%8F%E4%BC%9A%E7%A4%BE%E3%82%B9%E3%82%BA%E3%83%A4","株式会社スズヤ 4.2(95) 駄菓子屋",true,"2026-03-31"
"70","白銀亭","other","other",4.5,"https://www.google.com/maps/search/?api=1&query=%E7%99%BD%E9%8A%80%E4%BA%AD","白銀亭 4.5(1,091) ￥1,000～2,000 · カレー",true,"2026-03-31"
"71","MON CRULLER モンクルーラー","other","other",3.9,"https://www.google.com/maps/search/?api=1&query=MON%20CRULLER%20%E3%83%A2%E3%83%B3%E3%82%AF%E3%83%AB%E3%83%BC%E3%83%A9%E3%83%BC","MON CRULLER モンクルーラー 3.9(35) ￥1～1,000 · デザート",true,"2026-03-31"
"72","卵かけご飯専門店 但熊","other","other",4.1,"https://www.google.com/maps/search/?api=1&query=%E5%8D%B5%E3%81%8B%E3%81%91%E3%81%94%E9%A3%AF%E5%B0%82%E9%96%80%E5%BA%97%20%E4%BD%86%E7%86%8A","卵かけご飯専門店 但熊 4.1(2,005) ￥1～1,000 · 定食屋",true,"2026-03-31"
"73","肉居酒屋 ホワイティ梅田 コマツバラファーム","umeda","izakaya",3.7,"https://www.google.com/maps/search/?api=1&query=%E8%82%89%E5%B1%85%E9%85%92%E5%B1%8B%20%E3%83%9B%E3%83%AF%E3%82%A4%E3%83%86%E3%82%A3%E6%A2%85%E7%94%B0%20%E3%82%B3%E3%83%9E%E3%83%84%E3%83%90%E3%83%A9%E3%83%95%E3%82%A1%E3%83%BC%E3%83%A0","肉居酒屋 ホワイティ梅田 コマツバラファーム 3.7(429) ￥1,000～2,000 · 居酒屋",true,"2026-03-31"
"74","手作りハンバーグ卵 せんびる店","other","bar",4,"https://www.google.com/maps/search/?api=1&query=%E6%89%8B%E4%BD%9C%E3%82%8A%E3%83%8F%E3%83%B3%E3%83%90%E3%83%BC%E3%82%B0%E5%8D%B5%20%E3%81%9B%E3%82%93%E3%81%B3%E3%82%8B%E5%BA%97","手作りハンバーグ卵 せんびる店 4.0(7) ￥1,000～2,000 · 洋食",true,"2026-03-31"
"75","いわ志 本店","other","other",4,"https://www.google.com/maps/search/?api=1&query=%E3%81%84%E3%82%8F%E5%BF%97%20%E6%9C%AC%E5%BA%97","いわ志 本店 4.0(288) お手頃 · 日本料理",true,"2026-03-31"
"76","鮨 お料理 あお山","other","sushi",4.6,"https://www.google.com/maps/search/?api=1&query=%E9%AE%A8%20%E3%81%8A%E6%96%99%E7%90%86%20%E3%81%82%E3%81%8A%E5%B1%B1","鮨 お料理 あお山 4.6(63) ￥1,000～2,000 · 寿司",true,"2026-03-31"
"77","グリルショップやの","other","other",4.1,"https://www.google.com/maps/search/?api=1&query=%E3%82%B0%E3%83%AA%E3%83%AB%E3%82%B7%E3%83%A7%E3%83%83%E3%83%97%E3%82%84%E3%81%AE","グリルショップやの 4.1(312) ￥1,000～2,000 · 日本式洋食レストラン",true,"2026-03-31"
"78","玉子焼 中華そば 泉屋","other","ramen",4.3,"https://www.google.com/maps/search/?api=1&query=%E7%8E%89%E5%AD%90%E7%84%BC%20%E4%B8%AD%E8%8F%AF%E3%81%9D%E3%81%B0%20%E6%B3%89%E5%B1%8B","玉子焼 中華そば 泉屋 4.3(489) ￥1,000～2,000 · 定食屋",true,"2026-03-31"
"79","リバージュ","other","bar",4.8,"https://www.google.com/maps/search/?api=1&query=%E3%83%AA%E3%83%90%E3%83%BC%E3%82%B8%E3%83%A5","リバージュ 4.8(179) ￥1～1,000 · コーヒーショップ・喫茶店",true,"2026-03-31"
"80","丸正餃子店 阪奈店","other","ramen",3.9,"https://www.google.com/maps/search/?api=1&query=%E4%B8%B8%E6%AD%A3%E9%A4%83%E5%AD%90%E5%BA%97%20%E9%98%AA%E5%A5%88%E5%BA%97","丸正餃子店 阪奈店 3.9(530) ￥1,000～2,000 · 中華料理",true,"2026-03-31"
